metric,object,n,margin_sd,alpha,margin_raw,mean_diff_lra_minus_em,p_lower,p_upper,p_tost,equivalent
peak_force_proxy,fragile,22,0.5,0.05,3917.6856,-903.5135,0.0663,0.0103,0.0663,False
peak_force_proxy,deformable,22,0.5,0.05,988.6433,625.1682,0.0016,0.2305,0.2305,False
peak_depth_mm,fragile,22,0.5,0.05,0.0537,-0.0180,0.1267,0.0139,0.1267,False
peak_depth_mm,deformable,22,0.5,0.05,0.1444,0.0190,0.0000,0.0000,0.0000,True
time_to_first_contact_s,fragile,22,0.5,0.05,0.6318,-0.0738,0.0447,0.0176,0.0447,True
time_to_first_contact_s,deformable,22,0.5,0.05,0.5778,-0.1377,0.0641,0.0088,0.0641,False
force_overshoot_proxy,fragile,22,0.5,0.05,1482.7099,-24.9877,0.0460,0.0411,0.0460,True
force_overshoot_proxy,deformable,22,0.5,0.05,122.7933,101.2140,0.0007,0.3632,0.3632,False
approach_rate_mm_s,fragile,22,0.5,0.05,0.5635,-0.0833,0.0535,0.0170,0.0535,False
approach_rate_mm_s,deformable,22,0.5,0.05,0.5242,-0.3710,0.2831,0.0013,0.2831,False
n_force_reversals_post_plateau,fragile,22,0.5,0.05,4.3176,3.0455,0.0049,0.3142,0.3142,False
n_force_reversals_post_plateau,deformable,22,0.5,0.05,3.5722,-1.4091,0.1233,0.0061,0.1233,False
time_above_90pct_peak_s,fragile,22,0.5,0.05,0.1806,0.0857,0.0045,0.1589,0.1589,False
time_above_90pct_peak_s,deformable,22,0.5,0.05,0.1194,0.0257,0.0290,0.1046,0.1046,False
